capital_paye_t3,interet_paye_t3,nb_ech_payees_t3,retard_cumule_jours_t3,retard_moyen_jours_t3,nb_mvts_credit_t3,nb_mvts_debit_t3,montant_credit_total_t3,montant_debit_total_t3,montant_moy_t3,premier_mouvement_t3,dernier_mouvement_t3,pct_capital_paye_t3,ecart_prev_reel_t3,ratio_interet_sur_capital_paye_t3,pct_interet_paye_t3,retard_cumule_ratio_t3,ratio_debit_credit_t3,duree_ecart_t3,pct_retards_t3,client_type,credit_type,region,sector,statut_actuel,date_octroi,annee,mois
34184.33,7141.43,31.0,30.0,0.967741935483871,,,,,,,,0.9954056404804481,0.0,0.2089094623179685,0.17280819517898763,0.967741935483871,,,0.5483870967741935,Entreprise,Crédit par signature,CENTRE,Artisanat,SOLDE,2025-09-02,2025,9
260288.35,20359.239999999998,2.0,1.0,0.5,4.0,8.0,3872.29,3474.35,28.018477120460094,2022-12-17,2025-10-08,0.6579750665581806,0.0,0.07821802243550277,0.0725437905951731,0.5,0.8972339365078545,1026.0,0.5,Entreprise,Crédit de caisse,CENTRE-EST,Transport,SOLDE,2024-05-24,2024,5
225627.64,42427.46,18.0,24.0,1.3333333333333333,12.0,63.0,22102.77,52057.71,762.3890039682539,2023-01-12,2025-10-09,1.0029668356476535,0.0,0.18804194379731135,0.15827887624596582,1.3333333333333333,2.355257282232046,1001.0,0.5,Particulier,Crédit de caisse,CENTRE-SUD,Inconnu,SOLDE,2024-08-06,2024,8
79050.61,27747.55,78.0,1316.0,16.871794871794872,19.0,62.0,24401.84,53485.619999999995,807.9466608946609,2023-03-02,2025-10-09,0.23816594057496818,218.0,0.3510099416057637,0.2598129967782216,4.445945945945946,2.1918683181268297,952.0,0.9358974358974359,Entreprise,Crédit immobilier,CENTRE,Transport,DEFAUT,2024-05-19,2024,5
7440.03,1024.0,31.0,48.0,1.5483870967741935,49.0,218.0,95723.07,305883.7,1244.1271568102857,2022-12-13,2025-10-07,1.0010467893302835,0.0,0.1376338536269343,0.12098255795407153,1.5483870967741935,3.1955065795528705,1029.0,0.3548387096774194,Entreprise,Financement équipement,CENTRE-EST,Artisanat,SOLDE,2024-01-15,2024,1
633791.4,17404.69,8.0,5.0,0.625,4.0,23.0,6096.0599999999995,9674.85,327.50278333333335,2023-02-14,2025-10-08,0.8041269604032514,0.0,0.02746122777936084,0.0267272642868602,0.625,1.587066072184329,967.0,0.375,Entreprise,Crédit de caisse,Inconnu,Energie,SOLDE,2025-02-18,2025,2
44548.07,1224.58,6.0,4.0,0.6666666666666666,38.0,57.0,49870.59,64573.76,337.59914368037187,2022-12-25,2025-10-07,1.0037418322743454,0.0,0.027488957434070656,0.0267535307656428,0.6666666666666666,1.294826469869316,1017.0,0.5,Particulier,Crédit par signature,Inconnu,Inconnu,SOLDE,2025-05-01,2025,5
45554.4,3383.54,20.0,43.0,2.15,82.0,79.0,132586.78,60187.340000000004,790.5893672545972,2022-12-31,2025-10-09,0.8660367673618372,0.0,0.07427471330980102,0.0691394039062535,2.15,0.45394676603504514,1013.0,0.5,Particulier,Crédit de caisse,CENTRE-NORD,Inconnu,SOLDE,2024-10-31,2024,10
9856.39,1433.09,2.0,1.0,0.5,0.0,5.0,0.0,1580.28,17.31300634920635,2023-01-02,2025-10-08,0.16286180625367233,6.0,0.14539704699184997,0.12694030194481942,0.125,,1010.0,0.5,Particulier,Crédit par signature,CENTRE-SUD,Inconnu,DEFAUT,2025-08-18,2025,8
8103.92,689.97,7.0,6.0,0.8571428571428571,4.0,13.0,2944.12,22415.33,353.8335968253968,2023-06-19,2025-10-08,1.0032782663814277,0.0,0.08514027779148857,0.07846015813252157,0.8571428571428571,7.613592516609378,842.0,0.42857142857142855,Entreprise,Crédit de caisse,SUD-OUEST,Autres,SOLDE,2025-04-03,2025,4
77447.29000000001,2148.62,8.0,2.0,0.25,,,,,,,,0.8038812892029101,0.0,0.027742997850538083,0.026994100576273328,0.25,,,0.125,Particulier,Crédit de caisse,Inconnu,Inconnu,SOLDE,2024-10-04,2024,10
33548.49,3367.93,1.0,0.0,0.0,18.0,57.0,47722.36,54736.61,412.57711975874025,2022-12-29,2025-10-09,0.08312826612153874,8.0,0.10038991322709308,0.09123121906187003,0.0,1.1469803672743761,1015.0,0.0,Entreprise,Crédit de caisse,CENTRE-EST,Restauration,DEFAUT,2024-05-13,2024,5
9142.369999999999,561.55,17.0,22.0,1.2941176470588236,2.0,12.0,18589.579999999998,6894.55,193.4818207070707,2023-02-02,2025-10-08,0.9981374386834114,0.0,0.0614228039337721,0.05786836659824072,1.2941176470588236,0.37088250514535565,979.0,0.7058823529411765,Particulier,Financement fonds de commerce,SUD,Inconnu,SOLDE,2025-07-29,2025,7
8974.19,1473.5,48.0,87.0,1.8125,,,,,,,,1.0001727473742401,0.0,0.16419309152135178,0.14103596105933464,1.8125,,,0.4375,Entreprise,Financement équipement,Inconnu,Immobilier,SOLDE,2023-09-17,2023,9
21366.3,1231.37,9.0,3.0,0.3333333333333333,3.0,13.0,9348.599999999999,8077.7699999999995,294.64997108843534,2023-01-07,2025-10-06,0.8116698602181746,0.0,0.057631410211407684,0.05449101610918294,0.3333333333333333,0.8640619985880239,1003.0,0.2222222222222222,Entreprise,Crédit de caisse,CENTRE-OUEST,Services,SOLDE,2025-05-30,2025,5
